id,trigger,conditions,script,text,options,notes
# IIRT fleet greeting lines,,,,,,
greetingKRMFriendly,OpenCommLink,"$faction.id == KRM
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""信息已确认，研究局向您致以问候，我们希望我们的研究项目也能得到您的关注。"" $personRank 对你表示了问候，随后你的通讯员便受到了大量如同诈骗短信一般的研究可行性推销。
OR
""$shipOrFleet已经扫描，希望您的航程顺利。""对方的 $personRank 和你闲聊了几句。
OR
""您好，$playerName，是否有兴趣考虑一下对我们的研究投资？我们的研究很快便可以得到成果，这绝对...""你的通讯员把对方的音频调成了静音，并且很痛苦的看着你。
OR
""您好，$playerName，是否有兴趣考虑一下对我们的研究投资？我们的研究很快便可以得到成果，这绝对是值得的，您只需要在之后我发给您的信件内点击确认并签字即可，这绝对会解决我们现在资金不足的问题，您感兴趣吗，您一定会的。""

你知道对方并无恶意，但是你仍旧看也没看就删除了他发来的垃圾信息
OR
""身份已确认，研究局 $personName 向您致以问候，希望能继续同您的合作。""
OR
""$shipOrFleet已经扫描，希望您的航程顺利。""
OR
""您好，$playerName，是否有兴趣考虑一下对...""你的通讯员主动掐断了与对方的通讯连接。",,
greetingKRMHostileWeaker,OpenCommLink,"$faction.id == KRM
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""哦该死...居然是你！我...我不会怕的！你必须为你的所作所为付出代价！""

通讯链接在你做出回应前就被切断。

即使对方的舰船弱于你的舰队，你的扫描器还是检测到了对方武器启动的特征讯号。
OR
""可恶可恶可恶...还是被发现追上...谁的信息...是那个杀人魔！""对方的 $personRank 一瞬间面色惨白，""...我们不会就这么死在太空里的。""

通讯链接在你做出回应前就被切断。

即使对方的舰船弱于你的舰队，你的扫描器还是检测到了对方武器启动的特征讯号。
OR
""...该死的混账。""

通讯链接在你做出回应前就被切断。

即使对方的舰船弱于你的舰队，你的扫描器还是检测到了对方武器启动的特征讯号。",cutCommLink:切断通讯链接,
greetingKRMHostileWeakerDefiant,OpenCommLink,"$faction.id == KRM
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""哦该死...我们完蛋了！我...我要离开这儿...""

随着一声巨大的枪响，通讯画面被覆盖，随后那尸体被搬开，你看到对方的船员造反了，但很显然他们并没有恐惧。

通讯链接在你做出回应前就被切断。

即使对方的舰船弱于你的舰队，你的扫描器还是检测到了对方武器启动的特征讯号。
OR
""可恶可恶可恶...还是被发现追上...谁的信息...是那个杀人魔！""对方的 $personRank 一瞬间面色惨白，但语气逐渐镇定下来，""...放马过来吧，我不会再逃跑了。""

通讯链接在你做出回应前就被切断。

即使对方的舰船弱于你的舰队，你的扫描器还是检测到了对方武器启动的特征讯号。
OR
""...久有耳闻...全舰做好战斗准备！恶魔还是来了。""

通讯链接在你做出回应前就被切断。

即使对方的舰船弱于你的舰队，你的扫描器还是检测到了对方武器启动的特征讯号。",cutCommLink:切断通讯链接,
greetingKRMHostileStronger,OpenCommLink,"$faction.id == KRM
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""哦，是你。我要是你就不会做出那些惹人生厌的事，现在准备付出代价吧！""

通讯链接在你做出回应前就被切断。
OR
""抓住你了，现在关闭你们舰船上的所有武器还来得及，立刻投降！""对方的 $personRank 所引领的舰船从P空间显现并封锁了你的道路，""否则我就把你的舰船残骸捞回去。""

在发现你没有进一步回复后，对方便切断了通讯链接。
OR
""立刻投降，介于你曾对 克劳斯姆概念研究局 造成的大量损失，你被勒令立刻放弃抵抗，否则我们有权开火。""",cutCommLink:切断通讯链接,
greetingKRMTOffNormal,OpenCommLink,"$faction.id == KRM
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0",,"""...请打开应答器，这是身份确认。""
OR
""...请打开应答器，日常身份确认。""
OR
""...伙计，距离内记得打开应答器，身份确认。""","turnOnTransponder:开启通讯器
cutCommLink:切断通讯链接",
greetingKRMTOffWeaker,OpenCommLink,"$faction.id == KRM
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0",,"""...请打开应答器，这是身份确认，否则我们有权进行调查。""
OR
""...请打开应答器，日常身份确认，否则我们有权进行调查。""
OR
""...伙计，距离内记得打开应答器，身份确认，否则我们有权进行调查。""","turnOnTransponder:开启通讯器
cutCommLink:切断通讯链接 ",
greetingKRMTOffUnknown,OpenCommLink,"$faction.id == KRM
!$entity.patrolAllowTOff
$entity.transponderOffConv score:100
!$entity.knowsWhoPlayerIs",,"""...请打开应答器，这是身份确认，你不符合已知队伍。""
OR
""...请打开应答器，你不符合已知队伍，否则我们有权进行调查。""
OR
""...你不符合已知队伍，现在打开应答器，身份确认，否则我们有权进行调查。""","turnOnTransponder:开启通讯器
cutCommLink:切断通讯链接 ",
greetingKRMNeutral,OpenCommLink,"$faction.id == KRM
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""...信息已确认，请保持距离。""
OR
""...你们的$shipOrFleet已经被识别扫描，请保持距离。""
OR
""...信息已确认，请保持距离。""随后似乎是为了防止误会，对方又补了一句，""这只是一句官场话，我们不希望产生过多交集。""
OR
经过短暂的等待，你的连接请求被接受了。

""信息已确认，您找我们有什么事情么？""
OR
经过短暂的等待，你的连接请求被接受了。

""信息已确认，请保持距离。""
OR
经过短暂的等待，你的连接请求被接受了。

在发现你只是日常通讯之后，$hisOrHer很快就找机会关闭了通讯。
OR
通信连接打开之后，对方等待着你优先说出通讯目的。

在发现你只是日常通讯之后，$hisOrHer很快就找机会关闭了通讯。
OR
经过漫长的等待，你的终端终于轻响了两下，随后通讯被接通了。

""...什么事？""
OR
""为了双方都能安心，我们最好保持距离。""",,
,,,,,,
