fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
,,,,,,,,
PTSDSettingHeader,精神创伤危机,Header,危机运行参数,,,,,危机
PTSDSettingText,即时应用说明,Text,保存设置后立即应用。关闭入侵只会暂停阶段推进与新单位生成；重新开启后从当前存档状态继续。,,,,危机
PTSD_omega_invasion_enabled,开启危机系统,Boolean,true,,启用或暂停精神创伤危机；暂停不会删除已经生成的舰队、据点和战略状态。,,,危机
PTSD_start_stage_time,沉寂阶段时长（天）,Int,65,,第四窥视开始进行周期侦察前的等待时间。,1,365,危机
PTSD_collect_data_time,侦察阶段时长（天）,Int,60,,第四窥视持续积累星系战力和殖民地防御数据的时间。,1,730,危机
PTSD_invade_time,据点营建时长（天）,Int,30,,选择隐蔽行星并开始环境异化的阶段时长。,1,365,危机
PTSD_repair_time,要塞建设时长（天）,Int,30,,黑洞要塞与核心防御完成前的准备时间。,1,365,危机
PTSD_scout_min_interval,侦察刷新最短间隔（天）,Int,10,,两支第四窥视侦察队出现之间的最短时间。,1,120,侦察
PTSD_scout_max_interval,侦察刷新最长间隔（天）,Int,25,,两支第四窥视侦察队出现之间的最长时间。,1,180,侦察
PTSD_scout_spawn_radius,侦察出现半径,Int,300,,侦察队在通讯基站或抵近侦察目标周围出现的基础半径。,100,3000,侦察
PTSD_scout_max_active,同时存在的侦察队上限,Int,3,,限制实体侦察队数量；战略观测数据不会因此丢失。,1,12,侦察
PTSD_warning_encounter_threshold,提前预警接触次数,Int,4,,玩家亲自目击或接触异常达到该次数后显示动荡预警。,1,20,侦察
PTSD_strategic_update_interval,权重更新间隔（天）,Int,7,,重新估算各星系价值、防御、侦察置信度和学习权重的周期。,1,60,战略
PTSD_hidden_materialization_range,事件实体化距离,Int,5000,,玩家接近目标星系到该超空间距离时才生成可互动舰队。,1000,20000,战略
PTSD_expansion_interval,行星异化间隔（天）,Int,14,,精神创伤在实控星系中向下一颗行星扩张的平均周期。,3,90,战略
PTSD_max_black_hole_fortresses,黑洞要塞上限,Int,3,,精神创伤能够控制并改造成癫狂视界要塞的黑洞星系数量。,0,10,战略
PTSD_front_turn_min_interval,战线回合最短间隔（天）,Int,6,,同一方面两次战略部署之间的最短时间。,2,60,战争
PTSD_front_turn_max_interval,战线回合最长间隔（天）,Int,12,,同一方面两次战略部署之间的最长时间；人类与精神创伤错峰更新。,2,90,战争
PTSD_max_guard_fleets,最大卫戍事件数,Int,10,,核心据点和实控区可并行维持的卫戍部署上限。,0,30,战争
PTSD_final_invasion_max_strength,单次入侵最大强度,Int,200,,全面战争中单个进攻事件及其实体舰队的强度上限。,50,5000,战争
PTSD_DefStat_onNewGame,新开局初始阶段（开发）,Radio,Sar,"Sar,Cod,Inv,Rep,FuA,End","Sar=沉寂；Cod=侦察；Inv=营建；Rep=要塞建设；FuA=全面战争；End=结束。",,,开发
