name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#压缩型武器,IIRT_No_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,武器被放进去了小巧的战机却仍有以往的伤害呢~致命耶~~~,武器开火时将不产生幅能。,,
#此机型武器只有一半面板伤害,IIRT_Half_Damage,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.IIRT_Half_Damage,此机型武器只有一半面板伤害,武器开火时将不产生幅能。,,
0DP,IIRT_0DP,,,未知,special,特殊,,,TRUE,TRUE,0,0,0,0,data.hullmods.IIRT_0DP,把船变成0部署点(中介),0DP,,
#克劳斯姆概念设计局,,,,,,,,,,,,,,,,,,,
相位涂层,IIRT_Lab_PhaseOverlay,,,克劳斯姆概念,phase,特殊,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,"使舰船能如同相位舰船一样，在长距离航行时激活低水平相位场，从而使被侦测范围降低 %s。
此涂层只能用于规避探查，它并不能在战斗中令舰船进入P空间。",相位涂层而非相位，降低被侦测范围。,,graphics/hullmods/IIRT_Lab_PhaseOverlay.png
逆相构机,IIRT_Lab_RPCM,,,克劳斯姆概念,phase,特殊,,,TRUE,,0,0,0,0,data.hullmods.IIRT_Lab_Main,"此舰体运用了一些尚处于实验阶段的逆相位系统；这种由相位节点所衍生的相位冲程系统有各种型号，并会在一定程度上提升舰船表现。

对于相位舰船，可令舰船在进入P空间时 %s 部分幅能。但安置相位锚点产生的极大干扰会使此效果无效化。
对于非相位舰船，船体结构额外增加 %s 伤害抗性。其本质上是利用反冲系统精准控制舰船和外界的P空间立场影响层，从而一定程度上令舰船对外界投射物产生阻力。",设计局全局插,,graphics/hullmods/IIRT_Lab_Stand.png
相场机库,IIRT_Lab_PhaseHangar,,,克劳斯姆概念,phase,特殊,,,TRUE,,0,0,0,0,data.hullmods.IIRT_Lab_PhaseHangar,"此舰内部含有独特的相场维护层以及和设计局设计相匹配的机库设施，能使克劳斯姆的非机兵类LPC获得加成。

对于非机兵类设计局LPC，机体增加 %s 造成的伤害，机体降低 %s 承受伤害；
提升战机恢复速率，提高 %s 整备恢复速率。
[战机恢复速率于下方公式后显示]",设计局飞机航母全局插,,graphics/hullmods/IIRT_Lab_PhaseHangar.png
克劳斯姆机兵维护库,IIRT_Lab_PhaseMeshHanger,,,克劳斯姆概念,phase,特殊,,,TRUE,,0,0,0,0,data.hullmods.IIRT_Lab_PhaseMeshHanger,"此舰内部含有大量机兵装甲的维护设备以及挂架层，同时还有配套的校准设备，能将克劳斯姆概念的机兵类LPC发挥到极致。

对于机兵类设计局LPC，提升 %s 速度，减少 %s 相位维持，加快 %s 修复速度，降低机体所受 %s 伤害；
对于非机兵类设计局LPC，提升 %s 速度，降低机体 %s 所受伤害；
提升甲板恢复速率，提高 %s 整备恢复速率。
[甲板恢复速率于下方公式后显示]",设计局机兵航母全局插,,graphics/hullmods/IIRT_Lab_PhaseMeshHanger.png
机兵中枢,IIRT_Lab_PhaseMeshHangerOnly,,,克劳斯姆概念,phase,特殊,,,TRUE,,0,0,0,0,data.hullmods.IIRT_Lab_PhaseMeshHangerOnly,"此舰内部含有大量机兵装甲的维护设备以及挂架层，同时还有配套的校准设备，能将克劳斯姆概念的机兵类LPC发挥到极致。

对于机兵类设计局LPC，提升 %s 速度，加快 %s 修复速度，降低机体所受 %s 伤害；
提升 %s 甲板恢复速率，减少 %s 甲板装配需求，减少 %s 整备下降速率。
-更改LPC装配后 请刷新界面以更新数据-",设计局机兵中枢全局插,,graphics/hullmods/IIRT_Lab_PhaseMeshHangerOnly.png
#以西卡研究所,,,,,,,,,,,,,,,,,,,
