name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
#密钥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
矿机,IIRT_Lab_MineBot,,克劳斯姆概念,,,200,25,500,25,200,0,,160,300,300,180,360,50,OMNI,,160,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
欺诈,IIRT_Lab_Fraudor,,克劳斯姆概念,,,200,25,400,,100,0,,175,350,250,180,360,20,FRONT,,50,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朦胧,IIRT_Lab_Hazy,,克劳斯姆概念,,,300,100,400,500,110,0,,300,300,400,150,300,50,PHASE,phasecloak,0,,,0.03,0.04,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
鬼蜮,IIRT_Lab_Spirit,,克劳斯姆概念,,,200,50,150,300,50,0,,160,150,100,60,90,90,PHASE,phasecloak,0,,,0.04,0.05,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
爆尘,IIRT_Lab_BurnDirt,,克劳斯姆概念,,,250,150,500,500,110,0,,200,600,600,100,90,80,PHASE,phasecloak,0,,,-0.14,0.04,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
暮光,IIRT_Lab_Twillight,,克劳斯姆概念,IIRT_Lab_PhaseTeleporter_short,,180,100,500,500,110,0,,340,600,600,180,100,70,PHASE,phasecloak,0,,,-0.14,0.04,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
清算,IIRT_Lab_Liquidation,,克劳斯姆概念,,,400,75,500,500,110,0,,250,500,500,100,200,75,PHASE,phasecloak,0,,,-0.14,0.04,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,2,,
弯月面,IIRT_Lab_Meniscus,,克劳斯姆概念,IIRT_Lab_Damper,,500,200,500,500,110,0,,150,360,360,180,360,50,FRONT,,90,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,2,,
上弦月,IIRT_Lab_FirstQuarter,,克劳斯姆概念,plasmajets,,500,200,500,500,90,0,,220,300,300,180,360,50,PHASE,phasecloak,,,,-0.10,0.04,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,2,,
蛾眉月,IIRT_Lab_Crescent,,克劳斯姆概念,,,500,300,500,500,90,0,,200,400,360,180,360,75,PHASE,phasecloak,,,,-0.10,0.04,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,2,,
归尘卫,IIRT_Lab_Slod_Sec,,克劳斯姆概念,,,800,100,800,900,80,0,,160,150,100,80,90,100,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,2,,
归尘卫,IIRT_Lab_Slod_Fir,,克劳斯姆概念,,,1000,50,1000,900,100,0,,160,150,100,80,90,100,FRONT,,180,0.2,0.7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,2,,
盖隙,IIRT_Lab_Lid,,克劳斯姆概念,,,250,80,200,300,50,0,,300,300,400,150,300,90,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
先驱,IIRT_Lab_Pioneer,实验性相位穿梭机,克劳斯姆概念,IIRT_Lab_PhaseTeleporter_short,5,1250,160,1750,1875,160,50,,165,100,100,90,120,125,PHASE,phasecloak,,,,-0.14,0.04,1,20,15,15,0.5,30,10,20000,5,20,180,0.25,5,5,,,,,,,"CIVILIAN, LINER","KRM_bp, KRM_Com_bp",,,,0.5,2,3,IIRT_PhaseInBattle,
寻路士,IIRT_Lab_Pathfinder,开拓舰,克劳斯姆概念,maneuveringjets,6,1500,200,3250,1875,300,55,1,165,180,100,90,120,175,FRONT,,360,0.4,0.7,,,5,80,150,120,0.5,30,10,40000,5,20,180,0.25,7,6,,,,,,,,"KRM_bp, KRM_Com_bp",,,,0.5,2,3,IIRT_PhaseInBattle,
中伤,IIRT_Lab_Slander,实验性相位炮艇机,克劳斯姆概念,highenergyfocus,6,1500,300,2250,5000,250,35,,170,120,100,90,120,120,PHASE,phasecloak,,,,-0.14,0.04,5,20,15,15,0.5,30,10,35000,5,20,240,0.25,6,6,,,,,,,,KRM_bp,,,,0.6,1,4,IIRT_PhaseInBattle,
挫败,IIRT_Lab_Foil,实验性支援舰,克劳斯姆概念,IIRT_Lab_MadEnergy,11,2000,300,4000,5000,300,70,,150,120,100,50,120,260,FRONT,,360,0.6,0.8,,,10,50,20,50,1,50,10,48000,10,20,180,0.25,10,10,,,,,,,,KRM_bp,,,,0.5,2,4,IIRT_PhaseInBattle,
忘却,IIRT_Lab_Lethe,实验性相位护卫舰,克劳斯姆概念,entropyamplifier,11,2000,400,3000,2000,300,55,,160,120,100,60,120,230,PHASE,phasecloak,,,,-0.14,0.04,3,10,25,50,1,50,10,52000,10,20,180,0.25,10,10,,,,,,,,"KRM_bp, KRM_Com_bp",,,,0.5,2,3,IIRT_PhaseInBattle,
忘却-运输型,IIRT_Lab_Lethe_Tanker,实验性相位燃料输送舰,克劳斯姆概念,IIRT_Lab_PhaseLock,2,750,250,2000,1500,200,30,,130,120,100,50,120,220,PHASE,phasecloak,,,,-0.14,0.04,3,20,50,300,1,50,10,45000,10,20,180,0.25,2,2,,,,,,,"CIVILIAN, LINER, TANKER","KRM_bp, KRM_Com_bp",,,,0.8,2,5,IIRT_PhaseInBattle,
准则,IIRT_Lab_Norm,实验性相位护卫舰,克劳斯姆概念,IIRT_Lab_PhaseSpeedAmmo,8,1750,400,3000,2500,300,35,,150,120,100,60,120,200,PHASE,phasecloak,,,,-0.15,0.05,5,10,25,50,1,50,10,42000,10,20,240,0.25,8,8,,,,,,,,"KRM_bp, KRM_Com_bp",,,,0.5,2,3,IIRT_PhaseInBattle,
困扰,IIRT_Lab_Perplex,实验性相位护卫舰,克劳斯姆概念,IIRT_Lab_Damper,10,2000,400,3000,2500,300,45,,160,120,100,60,120,280,PHASE,phasecloak,,,,-0.12,0.03,10,20,25,50,1,50,10,42000,10,20,180,0.25,10,10,,,,,,,,"KRM_bp, KRM_Com_bp",,,,0.5,2,4,IIRT_PhaseInBattle,
思绪,IIRT_Lab_Thought,实验性相位先进炮艇,克劳斯姆概念,IIRT_Lab_PhaseLock,14,2000,500,6000,5000,500,65,,150,125,105,55,120,300,PHASE,phasecloak,,,,-0.15,0.05,5,20,25,50,1,50,10,72000,10,20,240,0.25,15,15,,,,,,,,KRM_bp,,,,0.5,1,3,IIRT_PhaseInBattle,
