trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
IIRT_Lab_Tracicles_trail0,IIRT_Lab_Tracicles,IIRT_Omega_sub,10,0,0,0.3,25,20,"[228,172,240]","[186,202,255]",1.0,200,600,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
IIRT_Lab_Tracicles_trail1,IIRT_Lab_Tracicles,IIRT_Omega_sub,9,0.1,0,0.3,15,10,"[186,202,255]","[255,150,255]",1.0,200,550,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIRT_Lab_Volley_Blades_trail0,IIRT_Lab_Volley_Blades,IIRT_Omega_sub,10,0.05,0,0.3,20,15,"[157,104,192]","[228,172,240]",1.0,200,500,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
IIRT_Lab_Volley_Blades_trail1,IIRT_Lab_Volley_Blades,IIRT_Omega_sub,9,0.1,0,0.3,15,10,"[186,202,255]","[157,104,192]",1.0,200,500,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
IIRT_Lab_Volley_Blades_trail2,IIRT_Lab_Volley_Blades,IIRT_Omega_Cloud64,11,0.5,0,0.3,20,5,"[157,104,192]","[255,150,255]",1.0,200,400,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
,,,,,,,,,,,,,,,,,,,
IIRT_Lab_Flow_trail0,IIRT_Lab_Missile_mine_Lit,IIRT_Omega_BombLazer,9,0.3,0,0.1,20,15,"[157,104,192]","[186,202,255]",1.0,500,400,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
IIRT_Lab_Flow_trail1,IIRT_Lab_Missile_mine_Lit,IIRT_Omega_X,10,0.1,0,0.3,15,10,"[186,202,255]","[157,104,192]",1.0,200,400,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
IIRT_Lab_Flow_trail2,IIRT_Lab_Missile_mine_Lit,IIRT_Omega_Trail2,11,0.5,0,0.3,20,10,"[255,150,255]","[186,202,255]",1.0,500,500,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,
IIRT_Lab_Missile_mine_trail0,IIRT_Lab_Missile_mine,IIRT_Omega_BombLazer,14,0.5,0,0.3,20,15,"[157,104,192]","[186,202,255]",1.0,500,400,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
IIRT_Lab_Missile_mine_trail1,IIRT_Lab_Missile_mine,IIRT_Omega_X,16,0.2,0,0.5,15,10,"[186,202,255]","[157,104,192]",1.0,600,400,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
IIRT_Lab_Missile_mine_trail2,IIRT_Lab_Missile_mine,IIRT_Omega_Trail2,18,0.7,0,0.5,20,10,"[255,150,255]","[186,202,255]",1.0,600,500,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
IIRT_Lab_Missile_mine_trail3,IIRT_Lab_Missile_mine,IIRT_Omega_Cloud64,20,0.7,0,0.5,20,10,"[157,104,192]","[255,150,255]",1.0,700,500,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
,,,,,,,,,
#IIRT_Lab_HugePhase_trail0,IIRT_Lab_HugePhase,IIRT_Omega_MoonC,14,0.3,0,0.7,20,10,"[157,104,192]","[255,150,255]",1.0,700,500,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
#IIRT_Lab_HugePhase_trail1,IIRT_Lab_HugePhase,IIRT_Omega_Flare128,18,0.7,0,0.3,10,20,"[186,202,255]","[157,104,192]",1.0,700,600,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
