name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#新生- 大多数OP都暂定为5，这表示还没完事
余波震荡器,PTSD_Aftershockor,3,,150000,800,250,,,100,100,5,,,,HIGH_EXPLOSIVE,,250,2,0.75,,,,,,,,450,,,,"STRIKE","energy15, pd15, omega",,未知,,反装甲,,,,,命中非未知船体或护甲时，根据受损装甲数值进行一比一的额外装甲损伤。,,,,,
塔罗稳定器,PTSD_Fracture_Calculus,3,,150000,600,,10,,-50,25,5,,,,FRAGMENTATION,2,,0,0.01,,,0,12,1,10,,800,,,,,"energy15, omega",,未知,,通用,,,,,"命中非未知船体或护甲时，根据目标身上的 %s 层数产生影响：
消耗当前的所有层数积攒，并在五秒内持续降低敌方时间流速，五秒内取当前最大消耗层数
例：消耗 %s 层数，五秒内降低敌方时间流速 %s","塔罗影响 || 32层 || 32%",,,,
裂隙挥发场,PTSD_Fracture_Volatilizatior,4,,500,500,,25,400,0,40,5,,,,ENERGY,30,,0.45,0,2,0.05,,,,,,1000,,,,,"energy8, omega",,未知,,通用,,,,,"此武器所在的 %s 范围内将随机产生裂隙风暴",1000,"此武器不能主动开火",,,1
#实际上是伪随机，会在周围1000距离内索敌，(1000-敌人距离)判定，随后在其200距离内生成裂隙风暴，这个索敌包括lpc和其他任何战场物件，不限于舰船
塔霜回旋器,PTSD_TasloSpinor,4,,100000,1500,,200,,100,10,5,10,1,1,ENERGY,300,,1,5,10,0.1,30,90,10,10,,900,50,7,500,"STRIKE","energy20, omega",,未知,,未知,,,,,"命中目标船体或护甲时，赋予其 %s 层 %s；若目标的 %s 层数高于 %s，则消耗所有层数并生成一次塔罗塌缩。","500 || 塔罗影响 || 塔罗影响 || 550",,,,
隙质射枪,PTSD_Intertitial_Injection,4,,900,900,,35,1,,35,5,16,,,ENERGY,40,,0.1,0.3,4,0.05,0,10,0.5,15,,500,230,5.8,100,DO_NOT_AIM,"missile7, omega",,未知,,未知,,,,,"隙质徙入",
#造成 隙质影响，影响层数大于30时消耗20层并生成一组 虹膜-级 类红雾的LPC
#克劳斯姆
比特冲程炮,IIRT_Lab_Bito_Cannon,1,,500,500,,60,,3,40,5,20,2,5,HIGH_EXPLOSIVE,60,,0,0.25,1,,0,5,1,2,,900,,,60,,"he7, KRM_bp",,克劳斯姆概念,,反装甲,非常快,,,,,,,,,
齐射短刃,IIRT_Lab_Volley_Blade,1,,600,1000,,100,100,,30,7,12,0.33,6,KINETIC,80,,0,1,3,0.33,,10,8,5,,500,800,5,60,"CONSERVE_1, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","missile19, strike15, KRM_bp, KRM_Com_bp",,克劳斯姆概念,,反护盾,良好,特殊,,,在最开始 %s，但如果偏失目标则会在一段距离后 %s 一次。,无制导 | 重新制导,,,TRUE,
齐射短刃-战机版,IIRT_Lab_Volley_Blade_fighter,1,,600,600,,100,100,,30,7,6,0.75,6,KINETIC,0,,0,1.65,2,0.35,,10,8,5,,500,300,5,60,"ANTI_FTR, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, SYSTEM","missile19, strike15, restricted",,克劳斯姆概念,,反护盾,良好,特殊,,,在最开始 %s，但如果偏失目标则会在一段距离后 %s 一次。,无制导 | 重新制导,,,TRUE,
逐汐炮,IIRT_Lab_Tracicles,1,,500,500,,40,,1,30,6,16,2,4,ENERGY,38,,0.05,0.05,3,0.1,3,20,1,4,,750,800,1.25,75,GUIDED_POOR,"pd6, energy8, KRM_bp, KRM_Com_bp",,克劳斯姆概念,,通用,非常快,极佳,,,投射物会 %s 敌人。,自行追踪,,,,
微型聚类雷,IIRT_Lab_Flow,1,,500,1000,,100,,20,30,5,1,0.55,2,ENERGY,100,,0,1,1,,,,,,,500,400,6,80,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","strike15, missile7, KRM_bp, KRM_Com_bp",,克劳斯姆概念,,压制,良好,优秀,,,当命中船体或装甲时，有 %s 的概率产生打击武器与引擎的电弧，造成该武器命中目标时等值的额外伤害。,25%,,,TRUE,
齐射刃巢,IIRT_Lab_Volley_Blade_Emitter,1,0.75,600,1500,,100,100,,30,14,32,0.1875,8,KINETIC,60,,0,1,4,0.25,,10,8,5,,500,800,5,60,"CONSERVE_1, USE_VS_FRIGATES, MISSILE_SPREAD","missile19, strike15, KRM_bp, KRM_Com_bp",,克劳斯姆概念,,反护盾,良好,特殊,,,在最开始 %s，但如果偏失目标则会在一段距离后 %s 一次。,无制导 | 重新制导,,,TRUE,
聚类雷,IIRT_Missile_Mine,2,,1200,1000,,700,,15,10,14,10,0.045,2,ENERGY,500,,0,1,1,,,,,,,250,600,12.5,450,"DO_NOT_AIM, CONSERVE_5","strike15, missile7, KRM_bp",,克劳斯姆概念,,打击,快,良好,,,当命中船体或装甲时，有 %s 的概率产生打击武器与引擎的电弧，和武器伤害相等的额外伤害。,25%,,,TRUE,
过载荷炮,IIRT_Lab_Overflow_Cannon,2,,1200,600,,100,,50,20,12,5,1,1,ENERGY,200,,0,1.25,1,0,0,5,1,2,,600,500,5,500,"CONSERVE_5, STRIKE","energy14, KRM_bp",,克劳斯姆概念,,突破,良好,,,,,,,,TRUE,
塌缩冲程产生器,IIRT_Lab_Convergent_Blast,2,0.75,2000,600,,500,,100,15,16,20,,,ENERGY,550,,0.25,10,2,0.25,0,5,1,1,,600,600,,200,"STRIKE, GROUP_ALTERNATING",strike10,,克劳斯姆概念,,塌缩,良好,,,,"当命中船体或装甲时，有 %s 的概率进行一次塌缩判定。并直接擦除敌人对应的CR。
%s = 武器实际伤害/对方剩余赋能
-- %s --
当 %s 结果 >= 1时，则直接抹除 %s CR；
当 %s 结果 < 1时，则抹除 %s x %s 对应的CR。",30% | 塌缩比 | 判定| 塌缩比 | 10% | 塌缩比 | 10% | 塌缩比,,,TRUE,
相位粒子发生器,IIRT_Lab_PhaseParticleBeam,2,,2000,600,1000,,,-10,30,10,,,,ENERGY,,1200,0.1,0.4,1,4,,,,,3200,,,,,"GUIDED_POOR, DO_NOT_CONSERVE, SYSTEM","energy14, beam10, KRM_bp",,克劳斯姆概念,,通用,,,,,在开火时会额外减少 %s 所需时间。,相位冷却,,,,
#欧米伽
塔罗中和子发生器,PTSD_TasloLauncher,3,,150000,600,,10,,-50,25,6,,,,FRAGMENTATION,2,,0,0.01,,,0,12,1,10,,800,,,,,"energy15, omega",,未知,,通用,极快,,,,"每次命中船体或装甲时，赋予目标一层 %s

此影响无最大上限", "塔罗影响","塔罗影响：会受到其他塔罗粒子武器影响",,,
不稳定粒子速射器,Omega_Vpdiver_S,3,,150000,600,,70,,10,20,16,30,3,15,KINETIC,70,,0.05,0.025,1,,0,10,1,10,,1000,,,,,"kinetic20, omega, restricted",,未知,,反护盾,,,,,投射物会失去凝聚力并分散，其中 %s 弹体能达到射程的一半， %s 能达到最大射程。,100% | 50%,,,,25
熵增发生器,Omega_Entropy,3,,150000,800,250,,,100,100,15,,,,KINETIC,,250,0.05,0.02,,,,,,,10000,,,,,"PD, ANTI_FTR, IGNORES_FLARES","beam15, pd15, omega, restricted",,未知,,点防御,,,,,命中船体或装甲时大概率产生打击武器与引擎的电弧，造成额外 EMP 与能量伤害。当命中护盾时，将根据目标硬幅能水平随机产生穿透护盾的电弧。同时产生推力。,,,,,
热虹吸 SRM 发射器,thermosiphonsrm,3,,150000,600,,350,,-15,20,8,20,0.5,4,ENERGY,250,,0,1.25,4,0.25,5,20,5,,,800,150,9,175,DO_NOT_CONSERVE,"missile15, strike11, omega, restricted",,未知,,通用,快,较差,,,投射物击中敌方后，会将自身部分幅能强制转接到敌方舰船。此过程会根据幅能对敌方舰船造成 %s 形式的额外伤害。,能量伤害,,,TRUE,12
火烛史书,IIRT_Omega_Candle,4,,100000,1500,,200,,100,10,8,10,1,1,ENERGY,300,,1,5,10,0.1,30,90,10,10,,300,500,20,500,"GUIDED_POOR, SYSTEM","energy20, restricted",,未知,,未知,,,,,,,,,,
#香草
高速针刺,IIRT_Lab_0_lightneedler,,0,800,700,,50,,1,20,8,,,,KINETIC,40,,0,4.3,15,0.05,0,10,0.66,5,,1500,,,10,,"kinetic9, LR, restricted",,克劳斯姆概念,,反护盾,,,,,,,,,,3.65
重型高速针刺,IIRT_Lab_0_heavyneedler,,0,2500,700,,50,,1,15,15,,,,KINETIC,40,,0,4.55,30,0.05,1,10,0.5,5,,1500,,,10,,"kinetic15, restricted",,克劳斯姆概念,,反护盾,,,,,,,,,,5.75
相位离子炮,IIRT_Lab_0_ioncannon,,0,500,500,,25,400,0,40,6,,,,ENERGY,30,,0.45,0,2,0.05,,,,,,1000,,,,,"energy8, restricted",,克劳斯姆概念,,瘫痪,,,,,当命中船体或装甲时，有 %s 的概率产生打击武器与引擎的电弧，造成该武器命中目标时等值的额外伤害。,25%,,,,19
#矿冲只有0.96a才加USE_LESS_VS_SHIELDS的hints
相场冲击波,IIRT_Lab_0_miningblaster,,0,1000,500,,300,100,0,10,10,4,0.5,,ENERGY,400,,0,0.2,,,,,,,,1000,,,,,"energy12, restricted",,克劳斯姆概念,,通用,,,,,"Each bolt deals an additional %s damage to armor. This damage is not reduced by armor.
[Work for 0.96a]",100,,,,22.125
低能耗离子束,IIRT_Lab_0_ionbeam,,0,2500,1000,40,,400,0,20,12,,,,ENERGY,,100,0.1,0.1,,,,,,,2400,,,,,FIRE_WHEN_INEFFICIENT,"beam14, LR, restricted",,,,瘫痪,,,,,"命中船体或装甲时持续产生打击武器与引擎的电弧，造成额外 EMP 与能量伤害。当命中护盾时，将根据目标硬幅能水平随机产生穿透护盾的电弧。",,,,,22.85
#装饰
无,IIRT_NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
DDOS武器,IIRT_Omega_DDOS_Weapon,,,,2000,,3000,,75,10,30,,,,ENERGY,3000,,0,1,1,,0,0,0,0,,200,100,20,2500,SYSTEM,"restricted,DO_NOT_CONSERVE,DO_NOT_AIM,SYSTEM",,未知,,追踪鱼雷,慢,优秀,,,,,,,TRUE,9
十字架,IIRT_FSF_Helico_ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
魔方环,IIRT_Omega_Cube_Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
红魔方环,IIRT_Omega_Cube_Wave_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
蓝魔方环,IIRT_Omega_Cube_Wave_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
散幅顶盖,IIRT_Omega_Watcher_Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
散幅环带,IIRT_Omega_Watcher_Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
散幅环柱,IIRT_Omega_Watcher_Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
漫游者L,IIRT_SD_Stroll_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
漫游者M,IIRT_SD_Stroll_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
漫游者R,IIRT_SD_Stroll_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"restricted,SYSTEM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月相脉冲,IIRT_Omega_Moon_PD,,,,600,750,,250,0,75,10,25,1.95,5,ENERGY,,200,0.01,0.01,0.08,0.03,,,,,15900,,,,,SYSTEM,"energy12, pd10, restricted,SYSTEM",,未知,,通用,,,,,命中护盾时造成 %s 实际伤害的硬幅能。,150%,,,TRUE,
卫束聚导,IIRT_Omega_Moon_Rocket,,,,2500,,150,100,100,10,30,,,,ENERGY,150,,1,30,20,0.05,0,0,0,0,,500,1000,10,175,"SYSTEM, STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, IGNORES_FLARES","missile8, strike3, restricted,SYSTEM",,克劳斯姆概念,,通用,良好,良好,,,从舰体后方发射。投射物最终将会在目标旁喷洒大量缓慢移动的小型能量团。,,,,TRUE,
瞬发 PD biubiu,pdbubu,,,,600,350,,,0,100,7,3,0.5,,ENERGY,,60,0.1,0.02,5,0.1,,,,,10000,,,,,"PD,ANTI_FTR, IGNORES_FLARES","pd9, beam6, restricted,SYSTEM",,,,点防御,,,,,,,,,,19.6
